puzzle_number,size,solved,valid,time,generations,solution
1,9,True,True,3.2334,7,"[[5, 3, 4, 6, 7, 8, 9, 1, 2], [6, 7, 2, 1, 9, 5, 3, 4, 8], [1, 9, 8, 3, 4, 2, 5, 6, 7], [8, 5, 9, 7, 6, 1, 4, 2, 3], [4, 2, 6, 8, 5, 3, 7, 9, 1], [7, 1, 3, 9, 2, 4, 8, 5, 6], [9, 6, 1, 5, 3, 7, 2, 8, 4], [2, 8, 7, 4, 1, 9, 6, 3, 5], [3, 4, 5, 2, 8, 6, 1, 7, 9]]"
2,9,False,False,121.7558,98,
3,9,False,False,0.0000,0,
4,9,True,True,13.2732,18,"[[2, 7, 9, 3, 1, 8, 4, 6, 5], [8, 5, 4, 9, 6, 2, 7, 1, 3], [6, 1, 3, 7, 4, 5, 2, 8, 9], [4, 8, 6, 2, 3, 7, 5, 9, 1], [7, 9, 2, 5, 8, 1, 3, 4, 6], [1, 3, 5, 6, 9, 4, 8, 2, 7], [9, 2, 1, 4, 5, 3, 6, 7, 8], [3, 6, 7, 8, 2, 9, 1, 5, 4], [5, 4, 8, 1, 7, 6, 9, 3, 2]]"
5,9,False,False,122.4187,57,
6,9,False,False,120.7824,66,
7,9,True,True,8.8465,14,"[[6, 3, 4, 9, 1, 7, 8, 2, 5], [9, 8, 2, 3, 4, 5, 1, 6, 7], [5, 1, 7, 8, 6, 2, 3, 9, 4], [2, 6, 1, 4, 7, 3, 9, 5, 8], [3, 5, 8, 2, 9, 6, 4, 7, 1], [4, 7, 9, 5, 8, 1, 2, 3, 6], [8, 2, 3, 6, 5, 4, 7, 1, 9], [1, 9, 6, 7, 3, 8, 5, 4, 2], [7, 4, 5, 1, 2, 9, 6, 8, 3]]"
8,9,True,True,21.9207,24,"[[6, 2, 8, 3, 5, 7, 4, 1, 9], [1, 9, 3, 4, 8, 6, 2, 5, 7], [7, 4, 5, 2, 9, 1, 3, 6, 8], [5, 7, 9, 8, 1, 4, 6, 2, 3], [2, 3, 1, 7, 6, 9, 5, 8, 4], [8, 6, 4, 5, 2, 3, 7, 9, 1], [9, 5, 7, 6, 3, 8, 1, 4, 2], [3, 1, 2, 9, 4, 5, 8, 7, 6], [4, 8, 6, 1, 7, 2, 9, 3, 5]]"
9,9,False,False,121.5140,79,
10,9,False,False,0.0000,0,
11,9,False,False,121.0812,68,
12,9,False,False,0.0000,0,
13,9,True,True,0.4300,1,"[[5, 4, 7, 6, 1, 2, 8, 3, 9], [6, 9, 3, 8, 5, 4, 7, 1, 2], [2, 1, 8, 7, 3, 9, 6, 4, 5], [3, 5, 9, 4, 2, 6, 1, 8, 7], [7, 6, 1, 5, 8, 3, 9, 2, 4], [4, 8, 2, 1, 9, 7, 5, 6, 3], [1, 7, 4, 2, 6, 5, 3, 9, 8], [9, 2, 6, 3, 7, 8, 4, 5, 1], [8, 3, 5, 9, 4, 1, 2, 7, 6]]"
14,9,False,False,121.6407,71,
15,9,True,True,67.8045,79,"[[8, 3, 2, 1, 4, 9, 5, 6, 7], [5, 6, 7, 2, 3, 8, 4, 1, 9], [4, 1, 9, 7, 6, 5, 3, 2, 8], [7, 5, 4, 9, 1, 2, 8, 3, 6], [9, 8, 3, 4, 7, 6, 2, 5, 1], [1, 2, 6, 8, 5, 3, 7, 9, 4], [6, 9, 5, 3, 8, 7, 1, 4, 2], [2, 4, 8, 5, 9, 1, 6, 7, 3], [3, 7, 1, 6, 2, 4, 9, 8, 5]]"
